Country_name,Democray_year,Join_EU
Austria,1955,1995
Belgium,1919,1958
Bulgaria,1989,2007
Croatia,1991,2013
Cyprus,1960,2004
Czech Republic,1993,2004
Denmark,1945,1973
Estonia,1991,2004
Finland,1918,1995
France,1945,1958
Germany,1949,1958
Greece,1945,1981
Hungary,1989,2004
Ireland,1931,1973
Italy,1946,1958
Latvia,1990,2004
Lithuania,1990,2004
Luxemburg,1945,1958
Malta,1974,2004
Netherlands,1945,1958
Poland,1989,2004
Portugal,1976,1986
Romania,1989,2007
Slovakia,1993,2004
Slovenia,1991,2004
Spain,1978,1986
Sweden,1974,1995
United Kingdom,1800,1973
